tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,70,10,70,6.6667,46.6667
1,151,71,10,70,6.6225,46.3576
2,152,72,10,70,6.5789,46.0526
3,154,74,10,70,6.4935,45.4545
4,157,76,11,70,7.0064,44.5860
5,157,76,11,70,7.0064,44.5860
6,159,78,11,70,6.9182,44.0252
7,161,80,11,70,6.8323,43.4783
8,162,81,12,69,7.4074,42.5926
9,162,81,12,69,7.4074,42.5926
10,163,82,12,69,7.3620,42.3313
11,164,83,12,69,7.3171,42.0732
12,165,84,12,69,7.2727,41.8182
13,167,86,12,69,7.1856,41.3174
14,167,86,12,69,7.1856,41.3174
15,169,88,12,69,7.1006,40.8284
16,169,87,13,69,7.6923,40.8284
17,171,89,13,69,7.6023,40.3509
18,171,88,14,69,8.1871,40.3509
19,172,89,15,68,8.7209,39.5349
20,176,89,19,68,10.7955,38.6364
21,175,90,9,76,5.1429,43.4286
22,175,90,9,76,5.1429,43.4286
23,178,93,9,76,5.0562,42.6966
24,178,93,9,76,5.0562,42.6966
25,178,93,8,77,4.4944,43.2584
26,179,94,8,77,4.4693,43.0168
27,181,95,9,77,4.9724,42.5414
28,182,96,9,77,4.9451,42.3077
29,182,96,8,78,4.3956,42.8571
30,183,97,8,78,4.3716,42.6230
31,184,97,9,78,4.8913,42.3913
32,185,98,9,78,4.8649,42.1622
33,186,97,11,78,5.9140,41.9355
34,189,100,11,78,5.8201,41.2698
35,193,103,12,78,6.2176,40.4145
36,195,105,11,79,5.6410,40.5128
37,198,108,11,79,5.5556,39.8990
38,199,109,10,80,5.0251,40.2010
39,200,111,9,80,4.5000,40.0000
40,200,111,6,83,3.0000,41.5000
41,202,112,6,84,2.9703,41.5842
42,205,114,7,84,3.4146,40.9756
43,207,115,8,84,3.8647,40.5797
44,209,117,8,84,3.8278,40.1914
45,212,119,9,84,4.2453,39.6226
46,215,123,9,83,4.1860,38.6047
47,217,125,9,83,4.1475,38.2488
48,217,125,8,84,3.6866,38.7097
49,220,127,9,84,4.0909,38.1818
50,220,127,9,84,4.0909,38.1818
51,222,129,9,84,4.0541,37.8378
52,222,197,8,17,3.6036,7.6577
53,226,200,8,18,3.5398,7.9646
54,226,201,7,18,3.0973,7.9646
55,230,204,7,19,3.0435,8.2609
56,232,206,7,19,3.0172,8.1897
57,236,210,7,19,2.9661,8.0508
58,237,211,7,19,2.9536,8.0169
59,239,213,7,19,2.9289,7.9498
60,239,212,8,19,3.3473,7.9498
61,240,212,9,19,3.7500,7.9167
62,242,215,7,20,2.8926,8.2645
63,245,217,8,20,3.2653,8.1633
64,244,217,7,20,2.8689,8.1967
65,247,220,6,21,2.4291,8.5020
66,249,221,7,21,2.8112,8.4337
67,249,221,7,21,2.8112,8.4337
68,253,223,9,21,3.5573,8.3004
69,257,227,9,21,3.5019,8.1712
70,259,229,8,22,3.0888,8.4942
71,259,227,10,22,3.8610,8.4942
72,264,230,12,22,4.5455,8.3333
73,268,242,11,15,4.1045,5.5970
74,272,246,11,15,4.0441,5.5147
75,273,246,12,15,4.3956,5.4945
76,275,247,12,16,4.3636,5.8182
77,278,248,15,15,5.3957,5.3957
78,281,249,17,15,6.0498,5.3381
79,285,249,21,15,7.3684,5.2632
80,287,249,22,16,7.6655,5.5749
81,291,245,31,15,10.6529,5.1546
82,291,237,39,15,13.4021,5.1546
83,293,236,42,15,14.3345,5.1195
84,296,233,48,15,16.2162,5.0676
85,299,231,53,15,17.7258,5.0167
86,302,225,62,15,20.5298,4.9669
87,302,219,67,16,22.1854,5.2980
88,302,211,75,16,24.8344,5.2980
89,302,200,85,17,28.1457,5.6291
90,301,195,90,16,29.9003,5.3156
91,300,184,99,17,33.0000,5.6667
92,299,175,108,16,36.1204,5.3512
93,301,170,116,15,38.5382,4.9834
94,300,157,128,15,42.6667,5.0000
95,300,149,135,16,45.0000,5.3333
96,300,139,145,16,48.3333,5.3333
97,298,130,150,18,50.3356,6.0403
98,299,121,160,18,53.5117,6.0201
99,302,115,167,20,55.2980,6.6225
100,301,110,168,23,55.8140,7.6412
101,300,98,176,26,58.6667,8.6667
102,298,91,170,37,57.0470,12.4161
103,297,86,173,38,58.2492,12.7946
104,295,83,168,44,56.9492,14.9153
