tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,41,10,99,6.6667,66.0000
1,151,41,11,99,7.2848,65.5629
2,152,42,11,99,7.2368,65.1316
3,153,43,11,99,7.1895,64.7059
4,153,43,11,99,7.1895,64.7059
5,153,42,12,99,7.8431,64.7059
6,153,42,12,99,7.8431,64.7059
7,154,43,12,99,7.7922,64.2857
8,154,43,12,99,7.7922,64.2857
9,156,45,12,99,7.6923,63.4615
10,157,45,13,99,8.2803,63.0573
11,160,48,13,99,8.1250,61.8750
12,161,49,13,99,8.0745,61.4907
13,161,48,14,99,8.6957,61.4907
14,165,50,16,99,9.6970,60.0000
15,167,51,17,99,10.1796,59.2814
16,168,52,17,99,10.1190,58.9286
17,169,53,17,99,10.0592,58.5799
18,170,54,17,99,10.0000,58.2353
19,170,54,17,99,10.0000,58.2353
20,170,54,17,99,10.0000,58.2353
21,167,55,6,106,3.5928,63.4731
22,171,58,7,106,4.0936,61.9883
23,173,60,7,106,4.0462,61.2717
24,176,62,8,106,4.5455,60.2273
25,178,64,7,107,3.9326,60.1124
26,181,67,7,107,3.8674,59.1160
27,181,67,7,107,3.8674,59.1160
28,185,71,7,107,3.7838,57.8378
29,187,72,8,107,4.2781,57.2193
30,191,76,8,107,4.1885,56.0209
31,193,78,8,107,4.1451,55.4404
32,198,83,8,107,4.0404,54.0404
33,200,84,8,108,4.0000,54.0000
34,201,85,7,109,3.4826,54.2289
35,203,88,5,110,2.4631,54.1872
36,207,92,5,110,2.4155,53.1401
37,208,93,5,110,2.4038,52.8846
38,210,95,5,110,2.3810,52.3810
39,212,97,5,110,2.3585,51.8868
40,213,98,5,110,2.3474,51.6432
41,215,99,6,110,2.7907,51.1628
42,218,101,7,110,3.2110,50.4587
43,217,101,6,110,2.7650,50.6912
44,218,102,6,110,2.7523,50.4587
45,219,103,5,111,2.2831,50.6849
46,221,105,5,111,2.2624,50.2262
47,222,105,6,111,2.7027,50.0000
48,226,109,6,111,2.6549,49.1150
49,226,108,7,111,3.0973,49.1150
50,228,110,5,113,2.1930,49.5614
51,229,111,5,113,2.1834,49.3450
52,231,212,5,14,2.1645,6.0606
53,232,211,7,14,3.0172,6.0345
54,233,210,8,15,3.4335,6.4378
55,237,214,8,15,3.3755,6.3291
56,238,215,8,15,3.3613,6.3025
57,242,219,8,15,3.3058,6.1983
58,243,218,10,15,4.1152,6.1728
59,246,221,10,15,4.0650,6.0976
60,249,224,10,15,4.0161,6.0241
61,251,223,13,15,5.1793,5.9761
62,253,222,14,17,5.5336,6.7194
63,255,222,16,17,6.2745,6.6667
64,260,224,19,17,7.3077,6.5385
65,261,224,20,17,7.6628,6.5134
66,262,221,24,17,9.1603,6.4885
67,264,221,25,18,9.4697,6.8182
68,267,222,27,18,10.1124,6.7416
69,272,224,30,18,11.0294,6.6176
70,275,227,30,18,10.9091,6.5455
71,278,225,35,18,12.5899,6.4748
72,282,227,37,18,13.1206,6.3830
73,284,231,40,13,14.0845,4.5775
74,289,233,42,14,14.5329,4.8443
75,292,233,44,15,15.0685,5.1370
76,293,229,49,15,16.7235,5.1195
77,296,229,53,14,17.9054,4.7297
78,297,227,55,15,18.5185,5.0505
79,298,226,57,15,19.1275,5.0336
80,302,221,66,15,21.8543,4.9669
81,302,213,73,16,24.1722,5.2980
82,300,209,73,18,24.3333,6.0000
83,300,202,78,20,26.0000,6.6667
84,299,198,79,22,26.4214,7.3579
85,300,194,83,23,27.6667,7.6667
86,300,182,95,23,31.6667,7.6667
87,300,175,100,25,33.3333,8.3333
88,299,168,103,28,34.4482,9.3645
89,303,165,110,28,36.3036,9.2409
90,300,155,116,29,38.6667,9.6667
91,298,146,121,31,40.6040,10.4027
92,299,140,125,34,41.8060,11.3712
93,299,133,129,37,43.1438,12.3746
94,299,123,137,39,45.8194,13.0435
95,301,116,142,43,47.1761,14.2857
96,300,106,148,46,49.3333,15.3333
97,299,103,150,46,50.1672,15.3846
98,299,93,156,50,52.1739,16.7224
99,300,87,162,51,54.0000,17.0000
100,300,80,162,58,54.0000,19.3333
101,297,73,162,62,54.5455,20.8754
102,297,71,160,66,53.8721,22.2222
103,293,64,160,69,54.6075,23.5495
104,293,59,163,71,55.6314,24.2321
105,293,54,162,77,55.2901,26.2799
106,290,52,156,82,53.7931,28.2759
107,291,54,149,88,51.2027,30.2405
108,290,49,143,98,49.3103,33.7931
109,287,48,138,101,48.0836,35.1916
110,290,50,131,109,45.1724,37.5862
111,290,49,128,113,44.1379,38.9655
112,289,46,121,122,41.8685,42.2145
113,290,47,117,126,40.3448,43.4483
114,289,51,107,131,37.0242,45.3287
