tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,151,140,11,0,7.2848,0.0000
2,151,139,12,0,7.9470,0.0000
3,154,139,15,0,9.7403,0.0000
4,155,140,15,0,9.6774,0.0000
5,155,138,17,0,10.9677,0.0000
6,155,136,19,0,12.2581,0.0000
7,155,133,22,0,14.1935,0.0000
8,157,129,28,0,17.8344,0.0000
9,157,126,31,0,19.7452,0.0000
10,158,124,34,0,21.5190,0.0000
11,160,125,35,0,21.8750,0.0000
12,163,126,37,0,22.6994,0.0000
13,165,121,44,0,26.6667,0.0000
14,168,121,47,0,27.9762,0.0000
15,166,118,48,0,28.9157,0.0000
16,167,116,51,0,30.5389,0.0000
17,168,115,53,0,31.5476,0.0000
18,169,116,53,0,31.3609,0.0000
19,170,110,60,0,35.2941,0.0000
20,171,109,62,0,36.2573,0.0000
21,169,104,57,8,33.7278,4.7337
22,171,105,57,9,33.3333,5.2632
23,173,108,54,11,31.2139,6.3584
24,174,104,59,11,33.9080,6.3218
25,173,100,62,11,35.8382,6.3584
26,171,95,65,11,38.0117,6.4327
27,171,93,63,15,36.8421,8.7719
28,171,90,64,17,37.4269,9.9415
29,173,90,63,20,36.4162,11.5607
30,172,88,61,23,35.4651,13.3721
31,172,88,60,24,34.8837,13.9535
32,173,86,62,25,35.8382,14.4509
33,172,85,58,29,33.7209,16.8605
34,173,85,55,33,31.7919,19.0751
35,173,83,57,33,32.9480,19.0751
36,173,85,56,32,32.3699,18.4971
37,172,82,56,34,32.5581,19.7674
38,174,80,59,35,33.9080,20.1149
39,175,80,58,37,33.1429,21.1429
40,176,79,57,40,32.3864,22.7273
41,177,76,57,44,32.2034,24.8588
42,176,71,59,46,33.5227,26.1364
43,178,69,62,47,34.8315,26.4045
44,179,68,60,51,33.5196,28.4916
45,179,66,59,54,32.9609,30.1676
46,179,65,56,58,31.2849,32.4022
47,179,65,55,59,30.7263,32.9609
48,180,67,52,61,28.8889,33.8889
49,180,66,52,62,28.8889,34.4444
50,183,68,49,66,26.7760,36.0656
51,184,66,50,68,27.1739,36.9565
52,186,65,52,69,27.9570,37.0968
53,184,63,52,69,28.2609,37.5000
54,186,64,51,71,27.4194,38.1720
55,187,65,51,71,27.2727,37.9679
56,188,62,52,74,27.6596,39.3617
57,188,62,50,76,26.5957,40.4255
58,188,63,46,79,24.4681,42.0213
59,190,63,45,82,23.6842,43.1579
60,190,60,46,84,24.2105,44.2105
61,189,58,44,87,23.2804,46.0317
62,191,59,42,90,21.9895,47.1204
63,192,57,41,94,21.3542,48.9583
64,192,55,39,98,20.3125,51.0417
65,194,56,38,100,19.5876,51.5464
66,197,60,36,101,18.2741,51.2690
67,200,63,34,103,17.0000,51.5000
68,202,66,33,103,16.3366,50.9901
69,204,66,35,103,17.1569,50.4902
70,206,68,33,105,16.0194,50.9709
71,211,72,33,106,15.6398,50.2370
72,213,75,29,109,13.6150,51.1737
73,213,82,27,104,12.6761,48.8263
74,213,82,27,104,12.6761,48.8263
75,216,85,28,103,12.9630,47.6852
76,218,87,27,104,12.3853,47.7064
77,220,86,27,107,12.2727,48.6364
78,222,87,28,107,12.6126,48.1982
79,224,90,31,103,13.8393,45.9821
80,224,90,29,105,12.9464,46.8750
81,227,94,29,104,12.7753,45.8150
82,230,100,27,103,11.7391,44.7826
83,232,101,28,103,12.0690,44.3966
84,233,104,24,105,10.3004,45.0644
85,233,107,24,102,10.3004,43.7768
86,236,112,26,98,11.0169,41.5254
87,240,114,28,98,11.6667,40.8333
88,243,116,29,98,11.9342,40.3292
89,244,118,30,96,12.2951,39.3443
90,245,118,31,96,12.6531,39.1837
91,250,124,31,95,12.4000,38.0000
92,252,127,32,93,12.6984,36.9048
93,254,129,36,89,14.1732,35.0394
94,257,133,36,88,14.0078,34.2412
95,257,130,39,88,15.1751,34.2412
96,260,133,43,84,16.5385,32.3077
97,259,133,43,83,16.6023,32.0463
98,263,138,44,81,16.7300,30.7985
99,263,136,45,82,17.1103,31.1787
100,264,138,45,81,17.0455,30.6818
101,265,138,45,82,16.9811,30.9434
102,268,140,50,78,18.6567,29.1045
103,268,137,54,77,20.1493,28.7313
104,268,129,63,76,23.5075,28.3582
