tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,150,139,11,0,7.3333,0.0000
2,151,140,11,0,7.2848,0.0000
3,151,140,11,0,7.2848,0.0000
4,151,139,12,0,7.9470,0.0000
5,152,140,12,0,7.8947,0.0000
6,153,141,12,0,7.8431,0.0000
7,155,143,12,0,7.7419,0.0000
8,157,145,12,0,7.6433,0.0000
9,159,147,12,0,7.5472,0.0000
10,160,147,13,0,8.1250,0.0000
11,162,149,13,0,8.0247,0.0000
12,162,149,13,0,8.0247,0.0000
13,164,150,14,0,8.5366,0.0000
14,168,153,15,0,8.9286,0.0000
15,171,154,17,0,9.9415,0.0000
16,175,158,17,0,9.7143,0.0000
17,179,161,18,0,10.0559,0.0000
18,179,160,19,0,10.6145,0.0000
19,181,159,22,0,12.1547,0.0000
20,181,159,22,0,12.1547,0.0000
21,181,161,13,7,7.1823,3.8674
22,182,162,13,7,7.1429,3.8462
23,185,164,14,7,7.5676,3.7838
24,186,165,14,7,7.5269,3.7634
25,191,169,14,8,7.3298,4.1885
26,192,169,15,8,7.8125,4.1667
27,195,172,15,8,7.6923,4.1026
28,197,174,15,8,7.6142,4.0609
29,199,175,16,8,8.0402,4.0201
30,199,174,17,8,8.5427,4.0201
31,201,177,16,8,7.9602,3.9801
32,204,180,16,8,7.8431,3.9216
33,207,183,16,8,7.7295,3.8647
34,207,183,14,10,6.7633,4.8309
35,210,187,12,11,5.7143,5.2381
36,213,190,12,11,5.6338,5.1643
37,215,192,12,11,5.5814,5.1163
38,217,193,12,12,5.5300,5.5300
39,218,193,9,16,4.1284,7.3394
40,221,196,9,16,4.0724,7.2398
41,223,198,7,18,3.1390,8.0717
42,223,198,7,18,3.1390,8.0717
43,227,202,7,18,3.0837,7.9295
44,232,205,8,19,3.4483,8.1897
45,233,205,9,19,3.8627,8.1545
46,236,207,9,20,3.8136,8.4746
47,237,207,9,21,3.7975,8.8608
