tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,154,143,11,0,7.1429,0.0000
2,157,146,11,0,7.0064,0.0000
3,158,147,11,0,6.9620,0.0000
4,161,150,11,0,6.8323,0.0000
5,162,151,11,0,6.7901,0.0000
6,163,151,12,0,7.3620,0.0000
7,164,152,12,0,7.3171,0.0000
8,168,156,12,0,7.1429,0.0000
9,170,158,12,0,7.0588,0.0000
10,171,158,13,0,7.6023,0.0000
11,174,161,13,0,7.4713,0.0000
12,175,162,13,0,7.4286,0.0000
13,176,162,14,0,7.9545,0.0000
14,176,162,14,0,7.9545,0.0000
15,179,165,14,0,7.8212,0.0000
16,179,165,14,0,7.8212,0.0000
17,179,165,14,0,7.8212,0.0000
18,180,166,14,0,7.7778,0.0000
19,184,170,14,0,7.6087,0.0000
20,186,172,14,0,7.5269,0.0000
21,184,173,4,7,2.1739,3.8043
22,186,175,3,8,1.6129,4.3011
23,186,175,3,8,1.6129,4.3011
24,189,178,3,8,1.5873,4.2328
25,191,180,3,8,1.5707,4.1885
26,193,183,2,8,1.0363,4.1451
27,194,184,2,8,1.0309,4.1237
28,197,187,2,8,1.0152,4.0609
29,199,189,2,8,1.0050,4.0201
30,200,190,2,8,1.0000,4.0000
31,202,193,1,8,0.4950,3.9604
32,204,195,1,8,0.4902,3.9216
33,207,198,0,9,0.0000,4.3478
34,208,199,0,9,0.0000,4.3269
35,209,200,0,9,0.0000,4.3062
36,211,202,0,9,0.0000,4.2654
37,215,206,0,9,0.0000,4.1860
38,219,210,0,9,0.0000,4.1096
39,220,211,0,9,0.0000,4.0909
40,220,211,0,9,0.0000,4.0909
41,220,211,0,9,0.0000,4.0909
42,221,212,0,9,0.0000,4.0724
43,223,214,0,9,0.0000,4.0359
44,228,219,0,9,0.0000,3.9474
45,229,220,0,9,0.0000,3.9301
46,236,227,0,9,0.0000,3.8136
47,240,231,0,9,0.0000,3.7500
48,242,233,0,9,0.0000,3.7190
49,245,236,0,9,0.0000,3.6735
50,245,236,0,9,0.0000,3.6735
51,248,239,0,9,0.0000,3.6290
52,250,241,0,9,0.0000,3.6000
53,253,244,0,9,0.0000,3.5573
54,256,247,0,9,0.0000,3.5156
55,259,250,0,9,0.0000,3.4749
56,261,252,0,9,0.0000,3.4483
57,264,255,0,9,0.0000,3.4091
58,264,255,0,9,0.0000,3.4091
59,264,255,0,9,0.0000,3.4091
60,265,256,0,9,0.0000,3.3962
61,268,259,0,9,0.0000,3.3582
62,268,259,0,9,0.0000,3.3582
63,269,260,0,9,0.0000,3.3457
64,273,264,0,9,0.0000,3.2967
65,274,265,0,9,0.0000,3.2847
66,276,267,0,9,0.0000,3.2609
67,277,268,0,9,0.0000,3.2491
68,279,270,0,9,0.0000,3.2258
69,280,271,0,9,0.0000,3.2143
70,282,273,0,9,0.0000,3.1915
71,283,274,0,9,0.0000,3.1802
72,284,275,0,9,0.0000,3.1690
73,288,286,0,2,0.0000,0.6944
74,289,288,0,1,0.0000,0.3460
75,293,292,0,1,0.0000,0.3413
76,298,297,0,1,0.0000,0.3356
77,302,301,0,1,0.0000,0.3311
78,302,301,0,1,0.0000,0.3311
79,302,301,0,1,0.0000,0.3311
80,302,301,0,1,0.0000,0.3311
81,302,301,0,1,0.0000,0.3311
82,302,301,0,1,0.0000,0.3311
83,301,300,0,1,0.0000,0.3322
84,301,300,0,1,0.0000,0.3322
85,301,301,0,0,0.0000,0.0000
86,301,301,0,0,0.0000,0.0000
