tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,113,10,27,6.6667,18.0000
1,150,113,10,27,6.6667,18.0000
2,152,115,10,27,6.5789,17.7632
3,153,113,13,27,8.4967,17.6471
4,153,113,13,27,8.4967,17.6471
5,157,117,13,27,8.2803,17.1975
6,159,117,15,27,9.4340,16.9811
7,161,118,16,27,9.9379,16.7702
8,163,119,17,27,10.4294,16.5644
9,168,122,19,27,11.3095,16.0714
10,172,125,20,27,11.6279,15.6977
11,174,126,21,27,12.0690,15.5172
12,175,124,24,27,13.7143,15.4286
13,175,120,28,27,16.0000,15.4286
14,175,117,31,27,17.7143,15.4286
15,176,118,31,27,17.6136,15.3409
16,178,118,33,27,18.5393,15.1685
17,178,116,35,27,19.6629,15.1685
18,179,115,37,27,20.6704,15.0838
19,179,113,39,27,21.7877,15.0838
20,182,115,40,27,21.9780,14.8352
21,178,115,31,32,17.4157,17.9775
22,179,114,33,32,18.4358,17.8771
23,179,112,33,34,18.4358,18.9944
24,179,110,34,35,18.9944,19.5531
25,181,110,36,35,19.8895,19.3370
26,184,111,37,36,20.1087,19.5652
27,185,110,37,38,20.0000,20.5405
28,186,112,36,38,19.3548,20.4301
29,187,112,37,38,19.7861,20.3209
30,187,110,37,40,19.7861,21.3904
31,186,108,38,40,20.4301,21.5054
32,187,108,37,42,19.7861,22.4599
33,188,108,37,43,19.6809,22.8723
34,189,111,33,45,17.4603,23.8095
35,188,107,34,47,18.0851,25.0000
36,189,107,34,48,17.9894,25.3968
37,190,107,33,50,17.3684,26.3158
38,192,107,33,52,17.1875,27.0833
39,191,106,31,54,16.2304,28.2723
40,191,105,31,55,16.2304,28.7958
41,192,106,31,55,16.1458,28.6458
42,193,108,29,56,15.0259,29.0155
43,192,109,26,57,13.5417,29.6875
44,193,111,24,58,12.4352,30.0518
45,194,112,23,59,11.8557,30.4124
46,194,113,21,60,10.8247,30.9278
47,195,110,24,61,12.3077,31.2821
48,196,111,23,62,11.7347,31.6327
49,198,111,24,63,12.1212,31.8182
50,199,112,22,65,11.0553,32.6633
51,202,110,26,66,12.8713,32.6733
52,201,137,25,39,12.4378,19.4030
53,202,131,31,40,15.3465,19.8020
54,203,132,31,40,15.2709,19.7044
55,202,133,28,41,13.8614,20.2970
56,202,134,27,41,13.3663,20.2970
57,204,135,27,42,13.2353,20.5882
58,205,135,27,43,13.1707,20.9756
59,206,133,28,45,13.5922,21.8447
60,206,132,29,45,14.0777,21.8447
61,207,133,29,45,14.0097,21.7391
62,208,133,30,45,14.4231,21.6346
63,209,134,30,45,14.3541,21.5311
64,210,131,34,45,16.1905,21.4286
65,212,130,37,45,17.4528,21.2264
66,214,128,40,46,18.6916,21.4953
67,217,129,38,50,17.5115,23.0415
68,218,129,39,50,17.8899,22.9358
69,223,132,41,50,18.3857,22.4215
70,225,130,43,52,19.1111,23.1111
71,226,129,44,53,19.4690,23.4513
72,227,127,44,56,19.3833,24.6696
73,227,133,40,54,17.6211,23.7885
74,229,135,38,56,16.5939,24.4541
75,231,136,40,55,17.3160,23.8095
76,231,134,43,54,18.6147,23.3766
77,236,139,43,54,18.2203,22.8814
78,238,138,44,56,18.4874,23.5294
79,241,138,47,56,19.5021,23.2365
80,241,138,46,57,19.0871,23.6515
81,242,133,51,58,21.0744,23.9669
82,244,133,55,56,22.5410,22.9508
83,246,135,54,57,21.9512,23.1707
84,246,136,54,56,21.9512,22.7642
85,249,138,53,58,21.2851,23.2932
86,249,140,49,60,19.6787,24.0964
87,251,140,51,60,20.3187,23.9044
88,253,141,53,59,20.9486,23.3202
89,254,141,55,58,21.6535,22.8346
90,254,136,58,60,22.8346,23.6220
91,254,134,59,61,23.2283,24.0157
92,255,131,63,61,24.7059,23.9216
93,256,127,64,65,25.0000,25.3906
94,258,129,64,65,24.8062,25.1938
95,258,124,69,65,26.7442,25.1938
96,257,123,68,66,26.4591,25.6809
97,260,124,69,67,26.5385,25.7692
98,261,123,71,67,27.2031,25.6705
99,262,126,68,68,25.9542,25.9542
100,262,120,72,70,27.4809,26.7176
101,262,120,68,74,25.9542,28.2443
102,263,118,70,75,26.6160,28.5171
103,265,119,71,75,26.7925,28.3019
104,265,115,74,76,27.9245,28.6792
105,267,117,73,77,27.3408,28.8390
106,271,118,76,77,28.0443,28.4133
107,273,114,80,79,29.3040,28.9377
108,276,117,78,81,28.2609,29.3478
109,276,115,79,82,28.6232,29.7101
110,278,114,79,85,28.4173,30.5755
111,280,117,74,89,26.4286,31.7857
112,282,117,73,92,25.8865,32.6241
113,284,119,68,97,23.9437,34.1549
114,284,118,67,99,23.5915,34.8592
115,285,117,65,103,22.8070,36.1404
116,288,120,60,108,20.8333,37.5000
117,292,121,63,108,21.5753,36.9863
118,291,123,59,109,20.2749,37.4570
119,291,125,60,106,20.6186,36.4261
120,294,124,61,109,20.7483,37.0748
121,295,124,57,114,19.3220,38.6441
122,299,126,58,115,19.3980,38.4615
123,301,128,55,118,18.2724,39.2027
124,301,128,54,119,17.9402,39.5349
125,301,130,52,119,17.2757,39.5349
126,300,130,52,118,17.3333,39.3333
127,297,130,46,121,15.4882,40.7407
128,297,128,46,123,15.4882,41.4141
129,298,125,50,123,16.7785,41.2752
130,303,132,44,127,14.5215,41.9142
131,302,131,46,125,15.2318,41.3907
132,302,131,46,125,15.2318,41.3907
133,302,128,47,127,15.5629,42.0530
134,301,126,48,127,15.9468,42.1927
135,300,124,49,127,16.3333,42.3333
136,300,122,51,127,17.0000,42.3333
137,300,122,54,124,18.0000,41.3333
138,299,124,52,123,17.3913,41.1371
139,303,129,51,123,16.8317,40.5941
140,302,127,49,126,16.2252,41.7219
141,302,125,49,128,16.2252,42.3841
142,302,127,50,125,16.5563,41.3907
143,302,127,49,126,16.2252,41.7219
144,302,125,50,127,16.5563,42.0530
145,302,125,53,124,17.5497,41.0596
146,301,118,59,124,19.6013,41.1960
147,300,116,60,124,20.0000,41.3333
148,300,116,62,122,20.6667,40.6667
149,298,116,58,124,19.4631,41.6107
150,299,117,57,125,19.0635,41.8060
151,302,118,58,126,19.2053,41.7219
152,302,121,57,124,18.8742,41.0596
153,302,122,60,120,19.8675,39.7351
154,302,122,58,122,19.2053,40.3974
155,301,121,58,122,19.2691,40.5316
156,297,119,57,121,19.1919,40.7407
157,297,119,56,122,18.8552,41.0774
158,297,116,57,124,19.1919,41.7508
159,298,116,60,122,20.1342,40.9396
160,305,123,61,121,20.0000,39.6721
161,304,123,61,120,20.0658,39.4737
162,304,120,64,120,21.0526,39.4737
163,304,120,69,115,22.6974,37.8289
164,304,121,67,116,22.0395,38.1579
165,303,124,66,113,21.7822,37.2937
166,302,123,62,117,20.5298,38.7417
167,301,126,57,118,18.9369,39.2027
168,300,128,59,113,19.6667,37.6667
169,299,125,59,115,19.7324,38.4615
170,300,127,59,114,19.6667,38.0000
171,299,127,56,116,18.7291,38.7960
172,301,129,58,114,19.2691,37.8738
173,301,131,59,111,19.6013,36.8771
174,299,131,57,111,19.0635,37.1237
175,300,134,59,107,19.6667,35.6667
176,299,137,57,105,19.0635,35.1171
177,301,140,56,105,18.6047,34.8837
178,301,138,56,107,18.6047,35.5482
179,300,139,56,105,18.6667,35.0000
180,300,138,55,107,18.3333,35.6667
181,299,135,57,107,19.0635,35.7860
182,300,140,53,107,17.6667,35.6667
183,299,138,49,112,16.3880,37.4582
184,302,139,50,113,16.5563,37.4172
185,300,139,51,110,17.0000,36.6667
186,299,133,55,111,18.3946,37.1237
187,306,139,56,111,18.3007,36.2745
188,303,136,55,112,18.1518,36.9637
189,303,135,54,114,17.8218,37.6238
190,303,135,57,111,18.8119,36.6337
191,303,134,58,111,19.1419,36.6337
192,303,135,57,111,18.8119,36.6337
193,302,133,59,110,19.5364,36.4238
194,301,122,68,111,22.5914,36.8771
195,301,122,70,109,23.2558,36.2126
196,301,118,75,108,24.9169,35.8804
197,299,114,78,107,26.0870,35.7860
198,301,110,82,109,27.2425,36.2126
199,301,109,81,111,26.9103,36.8771
200,300,105,82,113,27.3333,37.6667
201,300,104,84,112,28.0000,37.3333
202,300,102,86,112,28.6667,37.3333
203,300,101,89,110,29.6667,36.6667
204,299,99,90,110,30.1003,36.7893
205,299,100,86,113,28.7625,37.7926
206,302,107,83,112,27.4834,37.0861
207,301,101,85,115,28.2392,38.2060
208,301,98,86,117,28.5714,38.8704
209,300,99,86,115,28.6667,38.3333
210,300,97,88,115,29.3333,38.3333
211,299,96,86,117,28.7625,39.1304
212,304,99,88,117,28.9474,38.4868
213,304,98,87,119,28.6184,39.1447
214,303,99,82,122,27.0627,40.2640
215,300,96,77,127,25.6667,42.3333
216,296,96,76,124,25.6757,41.8919
217,297,94,75,128,25.2525,43.0976
218,300,101,73,126,24.3333,42.0000
219,299,105,68,126,22.7425,42.1405
220,298,103,69,126,23.1544,42.2819
221,303,112,65,126,21.4521,41.5842
222,303,112,61,130,20.1320,42.9043
223,302,112,59,131,19.5364,43.3775
224,302,107,62,133,20.5298,44.0397
225,300,107,60,133,20.0000,44.3333
226,299,106,62,131,20.7358,43.8127
227,300,108,60,132,20.0000,44.0000
228,298,103,61,134,20.4698,44.9664
229,301,108,58,135,19.2691,44.8505
230,301,110,57,134,18.9369,44.5183
231,300,109,56,135,18.6667,45.0000
232,300,112,54,134,18.0000,44.6667
233,300,109,55,136,18.3333,45.3333
234,300,113,55,132,18.3333,44.0000
235,300,114,55,131,18.3333,43.6667
236,298,113,56,129,18.7919,43.2886
237,301,116,52,133,17.2757,44.1860
238,300,113,52,135,17.3333,45.0000
239,299,112,52,135,17.3913,45.1505
240,302,116,51,135,16.8874,44.7020
241,302,115,53,134,17.5497,44.3709
242,302,113,55,134,18.2119,44.3709
243,301,113,56,132,18.6047,43.8538
244,300,112,54,134,18.0000,44.6667
245,298,109,54,135,18.1208,45.3020
246,301,112,55,134,18.2724,44.5183
247,301,111,55,135,18.2724,44.8505
248,301,110,54,137,17.9402,45.5150
249,301,107,52,142,17.2757,47.1761
250,301,108,53,140,17.6080,46.5116
251,301,109,53,139,17.6080,46.1794
252,301,107,55,139,18.2724,46.1794
253,300,107,57,136,19.0000,45.3333
254,299,106,57,136,19.0635,45.4849
255,300,108,53,139,17.6667,46.3333
256,298,107,51,140,17.1141,46.9799
257,302,112,54,136,17.8808,45.0331
258,302,110,57,135,18.8742,44.7020
259,302,111,58,133,19.2053,44.0397
260,302,112,57,133,18.8742,44.0397
261,302,112,57,133,18.8742,44.0397
262,301,110,59,132,19.6013,43.8538
263,299,109,60,130,20.0669,43.4783
264,299,108,61,130,20.4013,43.4783
265,301,113,59,129,19.6013,42.8571
266,301,116,59,126,19.6013,41.8605
267,300,119,59,122,19.6667,40.6667
268,300,118,57,125,19.0000,41.6667
269,300,123,56,121,18.6667,40.3333
270,300,125,57,118,19.0000,39.3333
271,300,129,55,116,18.3333,38.6667
272,299,127,55,117,18.3946,39.1304
273,300,125,58,117,19.3333,39.0000
274,300,127,58,115,19.3333,38.3333
275,299,125,62,112,20.7358,37.4582
276,301,130,60,111,19.9336,36.8771
277,301,125,66,110,21.9269,36.5449
278,301,122,65,114,21.5947,37.8738
279,300,119,66,115,22.0000,38.3333
280,299,120,64,115,21.4047,38.4615
281,300,121,67,112,22.3333,37.3333
282,300,121,67,112,22.3333,37.3333
283,299,124,64,111,21.4047,37.1237
284,298,123,63,112,21.1409,37.5839
285,300,121,69,110,23.0000,36.6667
286,299,120,70,109,23.4114,36.4548
287,298,124,65,109,21.8121,36.5772
288,300,122,67,111,22.3333,37.0000
289,300,120,71,109,23.6667,36.3333
290,299,119,73,107,24.4147,35.7860
291,304,122,75,107,24.6711,35.1974
