tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,103,10,37,6.6667,24.6667
1,153,106,10,37,6.5359,24.1830
2,154,107,10,37,6.4935,24.0260
3,154,106,11,37,7.1429,24.0260
4,154,105,12,37,7.7922,24.0260
5,157,108,12,37,7.6433,23.5669
6,157,108,12,37,7.6433,23.5669
7,160,111,12,37,7.5000,23.1250
8,163,113,13,37,7.9755,22.6994
9,165,115,13,37,7.8788,22.4242
10,166,114,15,37,9.0361,22.2892
11,170,118,15,37,8.8235,21.7647
12,172,119,16,37,9.3023,21.5116
13,175,121,17,37,9.7143,21.1429
14,177,122,18,37,10.1695,20.9040
15,178,123,18,37,10.1124,20.7865
16,178,122,19,37,10.6742,20.7865
17,179,122,20,37,11.1732,20.6704
18,181,122,22,37,12.1547,20.4420
19,183,124,22,37,12.0219,20.2186
20,186,124,25,37,13.4409,19.8925
21,185,125,15,45,8.1081,24.3243
22,186,126,15,45,8.0645,24.1935
23,187,125,16,46,8.5561,24.5989
24,189,127,15,47,7.9365,24.8677
25,190,126,17,47,8.9474,24.7368
26,191,127,17,47,8.9005,24.6073
27,196,130,19,47,9.6939,23.9796
28,197,130,20,47,10.1523,23.8579
29,199,131,20,48,10.0503,24.1206
30,201,133,19,49,9.4527,24.3781
31,204,135,19,50,9.3137,24.5098
32,203,134,19,50,9.3596,24.6305
33,204,134,19,51,9.3137,25.0000
34,204,133,20,51,9.8039,25.0000
35,205,131,23,51,11.2195,24.8780
36,205,129,24,52,11.7073,25.3659
37,205,126,27,52,13.1707,25.3659
38,206,126,26,54,12.6214,26.2136
39,206,125,26,55,12.6214,26.6990
40,209,127,25,57,11.9617,27.2727
41,208,127,24,57,11.5385,27.4038
42,209,123,29,57,13.8756,27.2727
43,210,124,28,58,13.3333,27.6190
44,216,129,28,59,12.9630,27.3148
45,216,129,27,60,12.5000,27.7778
46,218,125,32,61,14.6789,27.9817
47,219,124,32,63,14.6119,28.7671
48,225,128,34,63,15.1111,28.0000
49,227,130,33,64,14.5374,28.1938
50,229,131,34,64,14.8472,27.9476
51,231,132,35,64,15.1515,27.7056
52,236,172,36,28,15.2542,11.8644
53,236,170,36,30,15.2542,12.7119
54,239,167,41,31,17.1548,12.9707
55,240,163,44,33,18.3333,13.7500
56,243,162,45,36,18.5185,14.8148
57,246,162,47,37,19.1057,15.0407
58,244,160,46,38,18.8525,15.5738
59,245,161,46,38,18.7755,15.5102
60,244,157,48,39,19.6721,15.9836
61,245,151,55,39,22.4490,15.9184
62,249,154,55,40,22.0884,16.0643
63,250,152,56,42,22.4000,16.8000
64,252,150,60,42,23.8095,16.6667
65,253,145,66,42,26.0870,16.6008
66,254,144,65,45,25.5906,17.7165
67,252,139,66,47,26.1905,18.6508
68,256,140,67,49,26.1719,19.1406
69,258,138,71,49,27.5194,18.9922
70,260,137,74,49,28.4615,18.8462
71,260,135,75,50,28.8462,19.2308
72,260,130,79,51,30.3846,19.6154
73,260,131,85,44,32.6923,16.9231
74,262,128,86,48,32.8244,18.3206
75,262,121,91,50,34.7328,19.0840
76,264,118,93,53,35.2273,20.0758
77,265,114,95,56,35.8491,21.1321
78,263,110,96,57,36.5019,21.6730
79,266,110,98,58,36.8421,21.8045
80,266,107,99,60,37.2180,22.5564
81,264,101,101,62,38.2576,23.4848
82,268,102,101,65,37.6866,24.2537
83,267,100,101,66,37.8277,24.7191
84,268,97,101,70,37.6866,26.1194
85,268,96,99,73,36.9403,27.2388
86,267,93,99,75,37.0787,28.0899
87,269,89,100,80,37.1747,29.7398
88,267,88,99,80,37.0787,29.9625
89,266,85,96,85,36.0902,31.9549
90,269,87,98,84,36.4312,31.2268
91,270,86,98,86,36.2963,31.8519
92,271,82,100,89,36.9004,32.8413
93,274,81,101,92,36.8613,33.5766
94,273,79,95,99,34.7985,36.2637
95,274,79,92,103,33.5766,37.5912
96,273,78,86,109,31.5018,39.9267
97,274,76,85,113,31.0219,41.2409
98,275,75,83,117,30.1818,42.5455
99,276,74,84,118,30.4348,42.7536
100,280,78,83,119,29.6429,42.5000
101,278,79,79,120,28.4173,43.1655
102,278,79,75,124,26.9784,44.6043
103,281,81,71,129,25.2669,45.9075
104,280,78,70,132,25.0000,47.1429
105,285,85,68,132,23.8596,46.3158
106,285,85,66,134,23.1579,47.0175
107,289,88,67,134,23.1834,46.3668
108,296,98,61,137,20.6081,46.2838
