tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,69,10,71,6.6667,47.3333
1,150,69,10,71,6.6667,47.3333
2,152,71,10,71,6.5789,46.7105
3,151,70,10,71,6.6225,47.0199
4,151,70,10,71,6.6225,47.0199
5,153,72,10,71,6.5359,46.4052
6,154,72,11,71,7.1429,46.1039
7,154,71,12,71,7.7922,46.1039
8,156,73,12,71,7.6923,45.5128
9,157,73,14,70,8.9172,44.5860
10,158,74,14,70,8.8608,44.3038
11,160,75,15,70,9.3750,43.7500
12,160,75,15,70,9.3750,43.7500
13,162,77,15,70,9.2593,43.2099
14,164,78,16,70,9.7561,42.6829
15,165,78,17,70,10.3030,42.4242
16,168,82,17,69,10.1190,41.0714
17,170,84,17,69,10.0000,40.5882
18,175,89,17,69,9.7143,39.4286
19,175,89,17,69,9.7143,39.4286
20,177,91,17,69,9.6045,38.9831
21,177,92,8,77,4.5198,43.5028
22,179,93,9,77,5.0279,43.0168
23,179,93,10,76,5.5866,42.4581
24,180,93,10,77,5.5556,42.7778
25,181,94,10,77,5.5249,42.5414
26,182,95,9,78,4.9451,42.8571
27,184,97,8,79,4.3478,42.9348
28,184,97,8,79,4.3478,42.9348
29,188,100,8,80,4.2553,42.5532
30,189,102,7,80,3.7037,42.3280
31,190,103,7,80,3.6842,42.1053
32,194,106,7,81,3.6082,41.7526
33,196,107,8,81,4.0816,41.3265
34,199,110,8,81,4.0201,40.7035
35,200,111,7,82,3.5000,41.0000
36,201,113,6,82,2.9851,40.7960
37,204,115,7,82,3.4314,40.1961
38,206,117,7,82,3.3981,39.8058
39,206,117,7,82,3.3981,39.8058
40,207,118,7,82,3.3816,39.6135
41,210,120,8,82,3.8095,39.0476
42,211,121,8,82,3.7915,38.8626
43,210,121,7,82,3.3333,39.0476
44,210,120,7,83,3.3333,39.5238
45,210,121,7,82,3.3333,39.0476
46,210,120,8,82,3.8095,39.0476
47,213,122,9,82,4.2254,38.4977
48,214,123,9,82,4.2056,38.3178
49,214,123,9,82,4.2056,38.3178
50,215,125,8,82,3.7209,38.1395
51,218,128,8,82,3.6697,37.6147
52,221,195,11,15,4.9774,6.7873
53,223,197,11,15,4.9327,6.7265
54,226,200,10,16,4.4248,7.0796
55,230,203,11,16,4.7826,6.9565
56,233,206,11,16,4.7210,6.8670
57,235,206,13,16,5.5319,6.8085
58,236,208,12,16,5.0847,6.7797
59,236,207,13,16,5.5085,6.7797
60,236,203,17,16,7.2034,6.7797
