tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,54,10,86,6.6667,57.3333
1,152,53,13,86,8.5526,56.5789
2,154,55,13,86,8.4416,55.8442
3,157,58,13,86,8.2803,54.7771
4,158,59,13,86,8.2278,54.4304
5,160,61,13,86,8.1250,53.7500
6,162,62,14,86,8.6420,53.0864
7,162,62,14,86,8.6420,53.0864
8,162,62,14,86,8.6420,53.0864
9,163,63,14,86,8.5890,52.7607
10,166,66,14,86,8.4337,51.8072
11,167,67,14,86,8.3832,51.4970
12,168,68,14,86,8.3333,51.1905
13,169,69,14,86,8.2840,50.8876
14,171,69,16,86,9.3567,50.2924
15,173,70,17,86,9.8266,49.7110
16,173,70,17,86,9.8266,49.7110
17,178,75,17,86,9.5506,48.3146
18,181,78,17,86,9.3923,47.5138
19,183,80,17,86,9.2896,46.9945
20,187,81,20,86,10.6952,45.9893
21,187,84,8,95,4.2781,50.8021
22,187,84,8,95,4.2781,50.8021
23,188,84,9,95,4.7872,50.5319
24,189,85,9,95,4.7619,50.2646
25,191,86,10,95,5.2356,49.7382
26,195,89,11,95,5.6410,48.7179
27,194,89,10,95,5.1546,48.9691
28,195,91,10,94,5.1282,48.2051
29,196,91,11,94,5.6122,47.9592
30,200,95,11,94,5.5000,47.0000
31,201,95,12,94,5.9701,46.7662
32,201,95,12,94,5.9701,46.7662
33,200,93,13,94,6.5000,47.0000
34,201,94,13,94,6.4677,46.7662
35,205,98,11,96,5.3659,46.8293
36,206,99,10,97,4.8544,47.0874
37,211,104,10,97,4.7393,45.9716
38,213,106,10,97,4.6948,45.5399
39,214,107,10,97,4.6729,45.3271
40,216,109,9,98,4.1667,45.3704
41,220,112,9,99,4.0909,45.0000
42,220,112,9,99,4.0909,45.0000
43,225,118,7,100,3.1111,44.4444
44,227,119,8,100,3.5242,44.0529
45,231,122,9,100,3.8961,43.2900
46,233,125,7,101,3.0043,43.3476
47,235,127,7,101,2.9787,42.9787
