tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,74,10,66,6.6667,44.0000
1,151,75,10,66,6.6225,43.7086
2,154,78,10,66,6.4935,42.8571
3,154,78,10,66,6.4935,42.8571
4,156,80,10,66,6.4103,42.3077
5,157,81,10,66,6.3694,42.0382
6,156,81,10,65,6.4103,41.6667
7,158,83,10,65,6.3291,41.1392
8,159,84,10,65,6.2893,40.8805
9,160,85,10,65,6.2500,40.6250
10,160,85,10,65,6.2500,40.6250
11,162,85,12,65,7.4074,40.1235
12,163,86,13,64,7.9755,39.2638
13,165,88,13,64,7.8788,38.7879
14,167,91,13,63,7.7844,37.7246
15,169,93,13,63,7.6923,37.2781
16,170,93,14,63,8.2353,37.0588
17,173,96,14,63,8.0925,36.4162
18,173,95,15,63,8.6705,36.4162
19,175,95,17,63,9.7143,36.0000
20,176,96,17,63,9.6591,35.7955
21,176,95,8,73,4.5455,41.4773
22,177,96,8,73,4.5198,41.2429
23,178,97,8,73,4.4944,41.0112
24,180,98,9,73,5.0000,40.5556
25,180,96,11,73,6.1111,40.5556
26,181,96,12,73,6.6298,40.3315
27,184,97,14,73,7.6087,39.6739
28,185,98,14,73,7.5676,39.4595
29,188,100,15,73,7.9787,38.8298
30,190,102,15,73,7.8947,38.4211
31,193,105,15,73,7.7720,37.8238
32,193,105,13,75,6.7358,38.8601
33,193,106,12,75,6.2176,38.8601
34,193,105,13,75,6.7358,38.8601
35,194,106,13,75,6.7010,38.6598
36,195,107,12,76,6.1538,38.9744
37,196,108,12,76,6.1224,38.7755
38,198,110,12,76,6.0606,38.3838
39,199,112,11,76,5.5276,38.1910
40,201,114,9,78,4.4776,38.8060
41,202,113,11,78,5.4455,38.6139
42,203,114,10,79,4.9261,38.9163
43,203,114,10,79,4.9261,38.9163
44,205,116,9,80,4.3902,39.0244
45,205,116,9,80,4.3902,39.0244
46,207,117,7,83,3.3816,40.0966
47,208,118,7,83,3.3654,39.9038
48,212,121,6,85,2.8302,40.0943
49,213,122,5,86,2.3474,40.3756
50,215,123,6,86,2.7907,40.0000
51,216,124,6,86,2.7778,39.8148
52,218,189,6,23,2.7523,10.5505
53,219,189,7,23,3.1963,10.5023
54,220,190,7,23,3.1818,10.4545
55,222,193,6,23,2.7027,10.3604
56,225,196,6,23,2.6667,10.2222
57,228,199,6,23,2.6316,10.0877
58,229,200,6,23,2.6201,10.0437
59,230,201,6,23,2.6087,10.0000
60,230,201,6,23,2.6087,10.0000
61,230,201,5,24,2.1739,10.4348
62,230,201,5,24,2.1739,10.4348
63,232,203,5,24,2.1552,10.3448
64,234,205,5,24,2.1368,10.2564
65,237,208,5,24,2.1097,10.1266
66,241,212,4,25,1.6598,10.3734
67,243,214,4,25,1.6461,10.2881
68,243,214,3,26,1.2346,10.6996
69,245,215,4,26,1.6327,10.6122
70,249,219,3,27,1.2048,10.8434
71,251,220,4,27,1.5936,10.7570
72,254,223,4,27,1.5748,10.6299
73,260,239,3,18,1.1538,6.9231
74,263,241,4,18,1.5209,6.8441
75,268,246,4,18,1.4925,6.7164
76,271,248,5,18,1.8450,6.6421
77,275,251,6,18,2.1818,6.5455
78,278,254,6,18,2.1583,6.4748
79,280,254,8,18,2.8571,6.4286
80,283,257,8,18,2.8269,6.3604
81,283,257,8,18,2.8269,6.3604
