tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,150,139,11,0,7.3333,0.0000
2,152,140,12,0,7.8947,0.0000
3,154,141,13,0,8.4416,0.0000
4,155,142,13,0,8.3871,0.0000
5,156,142,14,0,8.9744,0.0000
6,157,141,16,0,10.1911,0.0000
7,160,143,17,0,10.6250,0.0000
8,161,143,18,0,11.1801,0.0000
9,162,141,21,0,12.9630,0.0000
10,164,142,22,0,13.4146,0.0000
11,165,142,23,0,13.9394,0.0000
12,166,140,26,0,15.6627,0.0000
13,167,140,27,0,16.1677,0.0000
14,168,140,28,0,16.6667,0.0000
15,171,143,28,0,16.3743,0.0000
16,173,145,28,0,16.1850,0.0000
17,175,146,29,0,16.5714,0.0000
18,181,147,34,0,18.7845,0.0000
19,182,144,38,0,20.8791,0.0000
20,184,144,40,0,21.7391,0.0000
21,177,144,32,1,18.0791,0.5650
22,179,144,33,2,18.4358,1.1173
23,181,146,33,2,18.2320,1.1050
24,180,142,35,3,19.4444,1.6667
25,183,137,43,3,23.4973,1.6393
26,181,136,42,3,23.2044,1.6575
27,181,135,43,3,23.7569,1.6575
28,181,134,44,3,24.3094,1.6575
29,180,133,43,4,23.8889,2.2222
30,181,133,43,5,23.7569,2.7624
31,183,134,44,5,24.0437,2.7322
32,183,132,46,5,25.1366,2.7322
33,185,133,46,6,24.8649,3.2432
34,186,131,49,6,26.3441,3.2258
35,190,135,49,6,25.7895,3.1579
36,193,136,51,6,26.4249,3.1088
37,193,135,52,6,26.9430,3.1088
38,195,135,52,8,26.6667,4.1026
39,194,132,54,8,27.8351,4.1237
40,192,131,53,8,27.6042,4.1667
41,193,132,53,8,27.4611,4.1451
42,194,131,55,8,28.3505,4.1237
43,190,127,55,8,28.9474,4.2105
44,188,127,53,8,28.1915,4.2553
45,188,127,52,9,27.6596,4.7872
46,183,126,47,10,25.6831,5.4645
47,183,126,46,11,25.1366,6.0109
