tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,151,137,14,0,9.2715,0.0000
2,155,140,15,0,9.6774,0.0000
3,156,141,15,0,9.6154,0.0000
4,156,140,16,0,10.2564,0.0000
5,157,140,17,0,10.8280,0.0000
6,160,142,18,0,11.2500,0.0000
7,161,142,19,0,11.8012,0.0000
8,164,143,21,0,12.8049,0.0000
9,168,147,21,0,12.5000,0.0000
10,170,147,23,0,13.5294,0.0000
11,171,146,25,0,14.6199,0.0000
12,172,147,25,0,14.5349,0.0000
13,174,148,26,0,14.9425,0.0000
14,176,147,29,0,16.4773,0.0000
15,176,145,31,0,17.6136,0.0000
16,178,146,32,0,17.9775,0.0000
17,178,145,33,0,18.5393,0.0000
18,179,145,34,0,18.9944,0.0000
19,183,146,37,0,20.2186,0.0000
20,186,147,39,0,20.9677,0.0000
21,180,149,27,4,15.0000,2.2222
22,181,150,27,4,14.9171,2.2099
23,182,151,27,4,14.8352,2.1978
24,183,149,30,4,16.3934,2.1858
25,184,145,34,5,18.4783,2.7174
26,187,146,34,7,18.1818,3.7433
27,188,145,36,7,19.1489,3.7234
28,188,145,36,7,19.1489,3.7234
29,187,143,37,7,19.7861,3.7433
30,191,146,38,7,19.8953,3.6649
31,191,148,35,8,18.3246,4.1885
32,190,146,36,8,18.9474,4.2105
33,191,146,37,8,19.3717,4.1885
34,190,142,37,11,19.4737,5.7895
35,190,139,40,11,21.0526,5.7895
36,191,134,45,12,23.5602,6.2827
37,191,131,47,13,24.6073,6.8063
38,190,128,48,14,25.2632,7.3684
39,189,126,49,14,25.9259,7.4074
40,190,124,52,14,27.3684,7.3684
41,190,123,52,15,27.3684,7.8947
42,190,122,53,15,27.8947,7.8947
43,191,125,51,15,26.7016,7.8534
44,193,123,54,16,27.9793,8.2902
45,191,119,54,18,28.2723,9.4241
46,192,117,53,22,27.6042,11.4583
47,193,117,54,22,27.9793,11.3990
48,194,118,54,22,27.8351,11.3402
49,195,116,57,22,29.2308,11.2821
50,194,119,53,22,27.3196,11.3402
51,195,118,55,22,28.2051,11.2821
52,196,114,60,22,30.6122,11.2245
53,194,108,63,23,32.4742,11.8557
54,195,104,65,26,33.3333,13.3333
55,195,102,66,27,33.8462,13.8462
56,191,100,62,29,32.4607,15.1832
57,189,97,63,29,33.3333,15.3439
58,188,92,66,30,35.1064,15.9574
59,186,92,63,31,33.8710,16.6667
60,185,88,65,32,35.1351,17.2973
61,185,86,67,32,36.2162,17.2973
62,185,87,66,32,35.6757,17.2973
63,187,89,65,33,34.7594,17.6471
64,188,89,66,33,35.1064,17.5532
65,189,90,64,35,33.8624,18.5185
66,187,90,61,36,32.6203,19.2513
67,188,86,63,39,33.5106,20.7447
68,188,85,64,39,34.0426,20.7447
69,186,81,65,40,34.9462,21.5054
70,187,82,65,40,34.7594,21.3904
71,186,82,64,40,34.4086,21.5054
72,186,81,64,41,34.4086,22.0430
73,184,85,60,39,32.6087,21.1957
74,181,83,59,39,32.5967,21.5470
75,177,84,54,39,30.5085,22.0339
76,174,84,51,39,29.3103,22.4138
77,171,82,50,39,29.2398,22.8070
78,171,84,47,40,27.4854,23.3918
79,172,86,45,41,26.1628,23.8372
80,170,85,44,41,25.8824,24.1176
81,169,83,42,44,24.8521,26.0355
82,168,84,39,45,23.2143,26.7857
83,169,86,39,44,23.0769,26.0355
84,170,86,40,44,23.5294,25.8824
85,167,87,36,44,21.5569,26.3473
86,166,87,38,41,22.8916,24.6988
87,163,84,38,41,23.3129,25.1534
88,163,84,36,43,22.0859,26.3804
89,161,85,34,42,21.1180,26.0870
90,160,86,31,43,19.3750,26.8750
91,161,87,29,45,18.0124,27.9503
92,161,87,29,45,18.0124,27.9503
93,161,88,28,45,17.3913,27.9503
94,162,88,28,46,17.2840,28.3951
95,161,89,26,46,16.1491,28.5714
96,162,91,26,45,16.0494,27.7778
97,160,92,25,43,15.6250,26.8750
98,161,95,27,39,16.7702,24.2236
99,162,96,26,40,16.0494,24.6914
100,163,96,27,40,16.5644,24.5399
101,162,95,27,40,16.6667,24.6914
102,161,94,26,41,16.1491,25.4658
