tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,151,137,14,0,9.2715,0.0000
2,151,137,14,0,9.2715,0.0000
3,152,137,15,0,9.8684,0.0000
4,152,137,15,0,9.8684,0.0000
5,155,138,17,0,10.9677,0.0000
6,155,136,19,0,12.2581,0.0000
7,156,133,23,0,14.7436,0.0000
8,158,135,23,0,14.5570,0.0000
9,159,133,26,0,16.3522,0.0000
10,160,134,26,0,16.2500,0.0000
11,160,133,27,0,16.8750,0.0000
12,160,130,30,0,18.7500,0.0000
13,161,130,31,0,19.2547,0.0000
14,163,132,31,0,19.0184,0.0000
15,165,129,36,0,21.8182,0.0000
16,171,133,38,0,22.2222,0.0000
17,172,134,38,0,22.0930,0.0000
18,172,133,39,0,22.6744,0.0000
19,172,131,41,0,23.8372,0.0000
20,174,131,43,0,24.7126,0.0000
21,174,130,31,13,17.8161,7.4713
22,174,128,32,14,18.3908,8.0460
23,176,128,34,14,19.3182,7.9545
24,179,129,35,15,19.5531,8.3799
25,181,127,39,15,21.5470,8.2873
26,181,127,37,17,20.4420,9.3923
27,181,126,34,21,18.7845,11.6022
28,183,127,34,22,18.5792,12.0219
29,184,127,35,22,19.0217,11.9565
30,184,126,35,23,19.0217,12.5000
31,185,125,37,23,20.0000,12.4324
32,185,123,36,26,19.4595,14.0541
33,187,123,37,27,19.7861,14.4385
34,191,125,39,27,20.4188,14.1361
35,193,126,37,30,19.1710,15.5440
36,194,126,35,33,18.0412,17.0103
37,197,127,36,34,18.2741,17.2589
38,200,128,38,34,19.0000,17.0000
39,201,126,40,35,19.9005,17.4129
40,202,128,38,36,18.8119,17.8218
41,205,129,39,37,19.0244,18.0488
42,205,129,38,38,18.5366,18.5366
43,205,127,39,39,19.0244,19.0244
44,206,121,45,40,21.8447,19.4175
45,206,120,43,43,20.8738,20.8738
46,205,118,43,44,20.9756,21.4634
47,207,117,45,45,21.7391,21.7391
48,209,117,46,46,22.0096,22.0096
49,210,114,48,48,22.8571,22.8571
50,211,110,51,50,24.1706,23.6967
51,212,107,54,51,25.4717,24.0566
52,214,108,53,53,24.7664,24.7664
53,214,106,53,55,24.7664,25.7009
54,213,105,52,56,24.4131,26.2911
55,213,101,55,57,25.8216,26.7606
56,213,96,58,59,27.2300,27.6995
57,212,92,60,60,28.3019,28.3019
58,211,90,60,61,28.4360,28.9100
59,214,91,59,64,27.5701,29.9065
60,214,85,64,65,29.9065,30.3738
61,215,86,63,66,29.3023,30.6977
62,216,85,63,68,29.1667,31.4815
63,215,83,64,68,29.7674,31.6279
64,214,79,64,71,29.9065,33.1776
65,216,79,60,77,27.7778,35.6481
66,217,76,62,79,28.5714,36.4055
67,218,74,64,80,29.3578,36.6972
68,216,71,65,80,30.0926,37.0370
69,215,69,63,83,29.3023,38.6047
70,217,70,63,84,29.0323,38.7097
71,216,68,58,90,26.8519,41.6667
72,216,64,60,92,27.7778,42.5926
73,217,74,60,83,27.6498,38.2488
74,220,78,59,83,26.8182,37.7273
75,221,74,63,84,28.5068,38.0090
76,221,72,62,87,28.0543,39.3665
77,221,74,57,90,25.7919,40.7240
78,225,78,58,89,25.7778,39.5556
79,225,79,60,86,26.6667,38.2222
80,222,78,55,89,24.7748,40.0901
81,226,78,59,89,26.1062,39.3805
82,227,78,60,89,26.4317,39.2070
83,226,75,62,89,27.4336,39.3805
84,224,74,63,87,28.1250,38.8393
85,225,74,62,89,27.5556,39.5556
86,225,72,60,93,26.6667,41.3333
87,226,72,62,92,27.4336,40.7080
88,227,73,62,92,27.3128,40.5286
89,231,75,62,94,26.8398,40.6926
90,229,74,62,93,27.0742,40.6114
91,231,72,64,95,27.7056,41.1255
92,231,73,60,98,25.9740,42.4242
93,232,70,62,100,26.7241,43.1034
94,233,72,61,100,26.1803,42.9185
95,234,72,62,100,26.4957,42.7350
96,234,73,58,103,24.7863,44.0171
97,238,75,60,103,25.2101,43.2773
98,240,77,60,103,25.0000,42.9167
99,240,73,62,105,25.8333,43.7500
100,241,72,63,106,26.1411,43.9834
101,241,73,63,105,26.1411,43.5685
102,245,80,59,106,24.0816,43.2653
