tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,140,10,0,6.6667,0.0000
1,151,139,12,0,7.9470,0.0000
2,156,144,12,0,7.6923,0.0000
3,157,144,13,0,8.2803,0.0000
4,158,144,14,0,8.8608,0.0000
5,159,141,18,0,11.3208,0.0000
6,160,140,20,0,12.5000,0.0000
7,160,140,20,0,12.5000,0.0000
8,163,142,21,0,12.8834,0.0000
9,163,140,23,0,14.1104,0.0000
10,165,141,24,0,14.5455,0.0000
11,165,138,27,0,16.3636,0.0000
12,169,141,28,0,16.5680,0.0000
13,169,141,28,0,16.5680,0.0000
14,169,141,28,0,16.5680,0.0000
15,171,142,29,0,16.9591,0.0000
16,173,144,29,0,16.7630,0.0000
17,174,145,29,0,16.6667,0.0000
18,174,145,29,0,16.6667,0.0000
19,174,140,34,0,19.5402,0.0000
20,174,138,36,0,20.6897,0.0000
21,164,137,26,1,15.8537,0.6098
22,162,133,28,1,17.2840,0.6173
23,164,134,29,1,17.6829,0.6098
24,164,131,32,1,19.5122,0.6098
25,162,132,28,2,17.2840,1.2346
26,160,131,27,2,16.8750,1.2500
27,159,129,27,3,16.9811,1.8868
28,160,129,28,3,17.5000,1.8750
29,159,129,26,4,16.3522,2.5157
30,158,129,25,4,15.8228,2.5316
31,159,130,25,4,15.7233,2.5157
32,160,130,25,5,15.6250,3.1250
33,160,128,27,5,16.8750,3.1250
34,160,128,27,5,16.8750,3.1250
35,161,127,28,6,17.3913,3.7267
36,163,129,28,6,17.1779,3.6810
37,164,127,31,6,18.9024,3.6585
38,164,126,32,6,19.5122,3.6585
39,163,124,33,6,20.2454,3.6810
40,162,122,31,9,19.1358,5.5556
41,163,123,31,9,19.0184,5.5215
42,162,121,32,9,19.7531,5.5556
43,159,119,31,9,19.4969,5.6604
44,157,118,29,10,18.4713,6.3694
45,157,116,31,10,19.7452,6.3694
46,157,113,34,10,21.6561,6.3694
47,155,113,32,10,20.6452,6.4516
48,154,111,33,10,21.4286,6.4935
49,154,110,33,11,21.4286,7.1429
50,154,110,33,11,21.4286,7.1429
51,155,110,34,11,21.9355,7.0968
52,158,112,34,12,21.5190,7.5949
53,155,109,34,12,21.9355,7.7419
54,154,109,33,12,21.4286,7.7922
55,153,105,36,12,23.5294,7.8431
56,154,105,37,12,24.0260,7.7922
57,153,103,38,12,24.8366,7.8431
58,152,100,39,13,25.6579,8.5526
59,150,94,42,14,28.0000,9.3333
60,150,95,40,15,26.6667,10.0000
61,149,92,41,16,27.5168,10.7383
62,150,88,45,17,30.0000,11.3333
63,149,87,45,17,30.2013,11.4094
64,150,87,46,17,30.6667,11.3333
65,151,89,45,17,29.8013,11.2583
66,149,83,49,17,32.8859,11.4094
67,148,83,48,17,32.4324,11.4865
68,150,83,50,17,33.3333,11.3333
69,150,84,49,17,32.6667,11.3333
70,151,84,50,17,33.1126,11.2583
71,152,84,49,19,32.2368,12.5000
72,152,83,50,19,32.8947,12.5000
73,150,82,50,18,33.3333,12.0000
74,149,81,50,18,33.5570,12.0805
75,149,81,50,18,33.5570,12.0805
