tick,total,susceptible,infected,immune,pct_infected,pct_immune
0,150,111,10,29,6.6667,19.3333
1,152,113,10,29,6.5789,19.0789
2,154,114,11,29,7.1429,18.8312
3,154,113,12,29,7.7922,18.8312
4,154,113,12,29,7.7922,18.8312
5,155,111,15,29,9.6774,18.7097
6,156,110,17,29,10.8974,18.5897
7,156,108,19,29,12.1795,18.5897
8,157,108,20,29,12.7389,18.4713
9,159,109,21,29,13.2075,18.2390
10,161,110,22,29,13.6646,18.0124
11,163,112,22,29,13.4969,17.7914
12,164,112,23,29,14.0244,17.6829
13,167,113,25,29,14.9701,17.3653
14,168,113,26,29,15.4762,17.2619
15,171,116,26,29,15.2047,16.9591
16,175,118,28,29,16.0000,16.5714
17,178,121,28,29,15.7303,16.2921
18,180,122,29,29,16.1111,16.1111
19,184,125,30,29,16.3043,15.7609
20,185,124,32,29,17.2973,15.6757
21,182,124,23,35,12.6374,19.2308
22,184,126,23,35,12.5000,19.0217
23,184,125,23,36,12.5000,19.5652
24,185,125,24,36,12.9730,19.4595
25,188,128,22,38,11.7021,20.2128
26,187,126,22,39,11.7647,20.8556
27,186,125,19,42,10.2151,22.5806
28,186,125,18,43,9.6774,23.1183
29,187,124,20,43,10.6952,22.9947
30,186,123,19,44,10.2151,23.6559
31,187,123,19,45,10.1604,24.0642
32,188,124,18,46,9.5745,24.4681
33,190,125,17,48,8.9474,25.2632
34,192,127,17,48,8.8542,25.0000
35,194,128,17,49,8.7629,25.2577
36,197,131,15,51,7.6142,25.8883
37,198,131,16,51,8.0808,25.7576
38,199,132,15,52,7.5377,26.1307
39,200,133,14,53,7.0000,26.5000
40,203,136,13,54,6.4039,26.6010
41,205,138,11,56,5.3659,27.3171
42,204,136,13,55,6.3725,26.9608
43,208,140,12,56,5.7692,26.9231
44,208,140,12,56,5.7692,26.9231
45,210,141,12,57,5.7143,27.1429
46,214,144,13,57,6.0748,26.6355
47,215,143,14,58,6.5116,26.9767
48,217,142,16,59,7.3733,27.1889
49,219,142,17,60,7.7626,27.3973
50,220,142,17,61,7.7273,27.7273
51,222,144,16,62,7.2072,27.9279
52,225,173,19,33,8.4444,14.6667
53,226,170,23,33,10.1770,14.6018
54,230,174,23,33,10.0000,14.3478
55,230,171,26,33,11.3043,14.3478
56,231,170,27,34,11.6883,14.7186
57,231,167,30,34,12.9870,14.7186
58,232,165,32,35,13.7931,15.0862
59,233,166,32,35,13.7339,15.0215
60,235,168,32,35,13.6170,14.8936
61,238,170,33,35,13.8655,14.7059
